mean,num worms
108.6,1
129.415,1
123.662,1
110.347,1
128.14,1
100.146,4
107.577,2
113.259,1
109.073,1
110.09,1
152.313,3
98.92,4
103.044,2
92.499,1
123.975,1
101.592,1
118.011,7
66.396,1
127.002,1
122.193,11
151.816,1
98.205,1
128.281,1
94.791,1
98.173,4
108.686,1
118.632,1
122.764,1
116.606,4
107.138,4
90.463,1
113.28,13
128.881,1
133.248,1
101.302,1
103.032,2
123.799,1
103.759,2
97.274,1
156.082,4
126.82,1
97.204,1
109.099,2
126.227,2
93.335,2
101.609,4
124.827,1
116.651,4