111.txt: 24072 X	111.txt: 24072 Y	1AB_1D.txt: column 1 X	1AB_1D.txt: column 1 Y	1AB_2D.txt: column 1 X	1AB_2D.txt: column 1 Y	1AB_6D.txt: column 1 X	1AB_6D.txt: column 1 Y	1AB_10D.txt: column 1 X	1AB_10D.txt: column 1 Y	1AB_15D.txt: column 1 X	1AB_15D.txt: column 1 Y	1AB_20D.txt: column 1 X	1AB_20D.txt: column 1 Y
3.0	2122.29412059	0.0	2240.92592889	0.0	2856.40404424	0.0	2203.43055833	0.0	2089.60283426	0.0	2359.86992195	0.0	1015.96666667
7.0	1392.96078059	3.0	1810.59258889	3.0	1973.40404424	3.0	2463.76388833	3.0	1563.60283426	3.0	963.536581951	3.0	258.966666667
10.0	854.294120588	7.0	1843.25925889	7.0	913.404044243	7.0	1206.76388833	7.0	1086.26950426	7.0	1900.20325195	7.0	-44.0333333337
13.0	-100.705879412	10.0	1821.92592889	10.0	1128.73737424	10.0	1206.43055833	10.0	749.602834255	10.0	732.536581951	10.0	217.966666667
17.0	-277.705879412	13.0	411.592588889	13.0	862.404044243	13.0	837.430558334	13.0	800.602834255	13.0	122.536581951	13.0	104.966666667
20.0	103.627450588	17.0	273.925928889	17.0	346.070704243	17.0	19.4305583338	17.0	684.602834255	17.0	540.869921951	17.0	212.466666667
23.0	-175.039219412	20.0	-78.7407411119	20.0	-107.929295757	20.0	100.430558334	20.0	707.602834255	20.0	-462.130078049	20.0	-314.033333333
27.0	74.9607805882	23.0	496.925928889	23.0	-148.262625757	23.0	-16.9027816662	23.0	716.269504255	23.0	-385.796748049	23.0	62.4666666663
30.0	-319.705879412	27.0	-217.407411111	27.0	-309.929295757	27.0	-314.902781666	27.0	45.2695042551	27.0	33.8699219514	27.0	-782.533333333
33.0	-238.372549412	30.0	136.925928889	30.0	193.737374243	30.0	562.763888334	30.0	176.936174255	30.0	-72.4634180486	30.0	1.46666666631
36.0	-781.372549412	33.0	232.259258889	33.0	-282.262625757	33.0	498.097218334	33.0	16.2695042551	33.0	57.5365819514	33.0	-240.033333333
40.0	-963.372549412	36.0	-112.407411111	36.0	-353.262625757	36.0	-217.902781666	36.0	156.269504255	36.0	-595.130078049	36.0	-682.533333333
43.0	-373.705879412	40.0	-462.074071111	40.0	158.737374243	40.0	6.43055833387	40.0	43.6028342551	40.0	296.203251951	40.0	304.466666667
46.0	-615.039219412	43.0	-555.407411111	43.0	-79.262625757	43.0	-17.5694416662	43.0	-115.063825745	43.0	-398.463418049	43.0	85.9666666663
50.0	71.6274505882	46.0	-1180.07407111	46.0	-113.262625757	46.0	-365.236111666	46.0	-154.397165745	46.0	-161.463418049	46.0	-5.03333333369
53.0	-676.705879412	50.0	44.2592588881	50.0	-642.929295757	50.0	-308.902781666	50.0	-547.730495745	50.0	-691.796748049	50.0	-189.033333333
56.0	-98.0392194118	53.0	-481.074071111	53.0	-514.262625757	53.0	-351.569441666	53.0	-403.063825745	53.0	-279.463418049	53.0	-99.0333333337
60.0	-126.705879412	56.0	85.2592588881	56.0	30.737374243	56.0	399.097218334	56.0	-759.397165745	56.0	478.203251951	56.0	522.966666667
63.0	-763.039219412	60.0	-1028.74074111	60.0	-390.929295757	60.0	-230.902781666	60.0	-712.063825745	60.0	-58.1300780486	60.0	-11.5333333337
66.0	-672.372549412	63.0	-161.740741111	63.0	-618.929295757	63.0	255.430558334	63.0	-141.397165745	63.0	-285.130078049	63.0	-40.0333333337
70.0	-297.372549412	66.0	-667.740741111	66.0	-143.262625757	66.0	149.763888334	66.0	443.602834255	66.0	327.536581951	66.0	96.4666666663
73.0	-322.039219412	70.0	-335.074071111	70.0	-1021.59595576	70.0	-237.569441666	70.0	-208.397165745	70.0	-590.130078049	70.0	-345.033333333
76.0	-1134.70587941	73.0	-284.407411111	73.0	511.070704243	73.0	-875.236111666	73.0	-562.063825745	73.0	-319.130078049	73.0	-418.533333333
80.0	-616.039219412	76.0	-1586.07407111	76.0	-1014.92929576	76.0	-198.902781666	76.0	3.26950425516	76.0	-440.130078049	76.0	110.466666667
83.0	-326.705879412	80.0	-978.407411111	80.0	-492.929295757	80.0	-210.236111666	80.0	-239.730495745	80.0	-430.796748049	80.0	765.966666667
86.0	-500.705879412	83.0	-217.074071111	83.0	-81.929295757	83.0	-733.236111666	83.0	-472.397165745	83.0	37.2032519514	83.0	-116.533333333
90.0	-484.705879412	86.0	-1051.40741111	86.0	-108.929295757	86.0	-376.569441666	86.0	-294.397165745	86.0	-82.7967480486	86.0	754.466666667
93.0	-1347.37254941	90.0	-720.074071111	90.0	-895.595955757	90.0	537.097218334	90.0	-125.730495745	90.0	-225.796748049	90.0	17.9666666663
96.0	-872.372549412	93.0	-937.407411111	93.0	-252.929295757	93.0	-19.2361116662	93.0	167.602834255	93.0	-130.796748049	93.0	-85.0333333337
100.0	289.627450588	96.0	-73.7407411119	96.0	-171.929295757	96.0	143.430558334	96.0	-174.063825745	96.0	-102.463418049	96.0	-61.0333333337
103.0	-266.705879412	100.0	-422.074071111	100.0	-247.595955757	100.0	-170.236111666	100.0	-50.7304957449	100.0	-74.7967480486	100.0	-819.533333333
106.0	-639.705879412	103.0	-726.074071111	103.0	-595.595955757	103.0	-529.902781666	103.0	-1047.06382574	103.0	-231.796748049	103.0	68.9666666663
109.0	-281.039219412	106.0	-1099.07407111	106.0	-386.262625757	106.0	-361.569441666	106.0	-95.0638257449	106.0	-461.130078049	106.0	-747.033333333
113.0	-579.372549412	109.0	-1167.40741111	109.0	-921.595955757	109.0	-446.569441666	109.0	-555.397165745	109.0	-479.796748049	109.0	-597.033333333
116.0	-206.372549412	113.0	-281.074071111	113.0	-1148.26262576	113.0	-663.236111666	113.0	-753.397165745	113.0	-87.4634180486	113.0	722.966666667
119.0	-551.705879412	116.0	-555.407411111	116.0	-1221.26262576	116.0	-327.236111666	116.0	-308.063825745	116.0	-505.796748049	116.0	-424.533333333
123.0	-650.039219412	119.0	-1248.74074111	119.0	-430.595955757	119.0	78.0972183338	119.0	-747.397165745	119.0	-193.796748049	119.0	-454.533333333
126.0	-197.372549412	123.0	-843.074071111	123.0	-196.929295757	123.0	-464.569441666	123.0	195.602834255	123.0	282.869921951	123.0	1152.46666667
129.0	-1325.70587941	126.0	-479.074071111	126.0	-799.595955757	126.0	-506.569441666	126.0	-24.7304957449	126.0	-293.130078049	126.0	-47.0333333337
133.0	-248.372549412	129.0	-330.074071111	129.0	58.070704243	129.0	-509.236111666	129.0	46.9361742551	129.0	-94.4634180486	129.0	164.966666667
136.0	83.6274505882	133.0	-364.407411111	133.0	-691.929295757	133.0	-679.569441666	133.0	-309.397165745	133.0	1.20325195144	133.0	-393.033333333
139.0	-589.372549412	136.0	-106.740741111	136.0	-642.262625757	136.0	325.430558334	136.0	198.602834255	136.0	128.203251951	136.0	-791.533333333
143.0	-479.705879412	139.0	-711.407411111	139.0	-534.595955757	139.0	-213.569441666	139.0	-381.063825745	139.0	-505.796748049	139.0	655.466666667
146.0	-806.372549412	143.0	-360.074071111	143.0	-846.929295757	143.0	-546.236111666	143.0	520.269504255	143.0	-284.130078049	143.0	-388.533333333
149.0	-827.705879412	146.0	-648.740741111	146.0	-725.262625757	146.0	-329.236111666	146.0	-474.063825745	146.0	12.8699219514	146.0	760.466666667
153.0	-454.705879412	149.0	-667.407411111	149.0	-203.262625757	149.0	-636.236111666	149.0	-204.730495745	149.0	-152.796748049	149.0	316.966666667
156.0	738.960780588	153.0	-720.740741111	153.0	-332.595955757	153.0	-180.569441666	153.0	-551.397165745	153.0	-401.130078049	153.0	468.966666667
159.0	-904.372549412	156.0	-481.074071111	156.0	-282.595955757	156.0	46.0972183338	156.0	-705.730495745	156.0	414.203251951	156.0	-460.533333333
163.0	297.294120588	159.0	-477.407411111	159.0	10.404044243	159.0	-399.569441666	159.0	348.936174255	159.0	-439.130078049	159.0	-530.033333333
166.0	574.960780588	163.0	-854.740741111	163.0	-667.929295757	163.0	-557.902781666	163.0	77.2695042551	163.0	-98.1300780486	163.0	-498.533333333
169.0	171.294120588	166.0	-370.074071111	166.0	-1027.92929576	166.0	-626.902781666	166.0	-185.063825745	166.0	172.869921951	166.0	108.966666667
172.0	79.6274505882	169.0	3.25925888815	169.0	-882.595955757	169.0	-817.902781666	169.0	-754.397165745	169.0	-185.130078049	169.0	-814.533333333
176.0	411.294120588	172.0	-311.074071111	172.0	-541.262625757	172.0	-1011.90278167	172.0	-246.730495745	172.0	-70.7967480486	172.0	-201.533333333
179.0	1546.29412059	176.0	-470.407411111	176.0	-609.929295757	176.0	-197.236111666	176.0	390.269504255	176.0	-770.130078049	176.0	547.966666667
182.0	585.627450588	179.0	-852.407411111	179.0	-1360.59595576	179.0	-623.236111666	179.0	-306.730495745	179.0	-193.796748049	179.0	-315.533333333
186.0	1157.29412059	182.0	-677.407411111	182.0	-645.595955757	182.0	-249.569441666	182.0	-313.063825745	182.0	-242.463418049	182.0	271.966666667
189.0	1413.96078059	186.0	-521.074071111	186.0	331.737374243	186.0	-458.902781666	186.0	-746.397165745	186.0	26.2032519514	186.0	715.966666667
192.0	1344.96078059	189.0	-54.7407411119	189.0	-318.595955757	189.0	-395.902781666	189.0	-453.730495745	189.0	-595.796748049	189.0	207.966666667
196.0	2182.96078059	192.0	-240.740741111	192.0	-441.929295757	192.0	-670.902781666	192.0	-479.063825745	192.0	43.2032519514	192.0	-403.033333333
199.0	2700.96078059	196.0	362.592588889	196.0	-174.929295757	196.0	-307.236111666	196.0	6.26950425516	196.0	766.203251951	196.0	623.466666667
202.0	2449.62745059	199.0	-783.074071111	199.0	-471.262625757	199.0	-7.56944166613	199.0	323.602834255	199.0	437.536581951	199.0	-693.533333333
206.0	3051.62745059	202.0	-821.407411111	202.0	-199.262625757	202.0	-645.236111666	202.0	572.936174255	202.0	-621.463418049	202.0	69.4666666663
209.0	3363.96078059	206.0	176.925928889	206.0	-1012.92929576	206.0	-237.569441666	206.0	254.936174255	206.0	212.536581951	206.0	-347.033333333
212.0	4244.29412059	209.0	-205.074071111	209.0	-570.262625757	209.0	-932.902781666	209.0	-143.730495745	209.0	-374.796748049	209.0	-858.533333333
216.0	3937.29412059	212.0	-297.407411111	212.0	-662.595955757	212.0	-246.902781666	212.0	-272.730495745	212.0	203.869921951	212.0	-829.533333333
219.0	5290.96078059	216.0	214.259258889	216.0	-110.929295757	216.0	-175.236111666	216.0	-236.063825745	216.0	806.869921951	216.0	317.466666667
222.0	4852.96078059	219.0	-441.740741111	219.0	-806.262625757	219.0	-71.2361116662	219.0	107.269504255	219.0	6.20325195144	219.0	169.466666667
226.0	6187.96078059	222.0	867.592588889	222.0	514.070704243	222.0	-337.902781666	222.0	-408.730495745	222.0	-28.4634180486	222.0	97.9666666663
229.0	5752.96078059	226.0	74.5925888881	226.0	-921.595955757	226.0	-469.236111666	226.0	198.269504255	226.0	119.536581951	226.0	-80.0333333337
232.0	7104.96078059	229.0	435.925928889	229.0	523.737374243	229.0	-698.236111666	229.0	473.936174255	229.0	17.5365819514	229.0	-87.5333333337
235.0	6114.96078059	232.0	1237.25925889	232.0	-31.595955757	232.0	219.097218334	232.0	-140.730495745	232.0	-544.796748049	232.0	-221.533333333
239.0	8257.62745059	235.0	1171.25925889	235.0	394.737374243	235.0	591.430558334	235.0	-32.0638257449	235.0	26.5365819514	235.0	-550.033333333
242.0	7801.96078059	239.0	1591.25925889	239.0	-731.595955757	239.0	-484.236111666	239.0	99.2695042551	239.0	290.536581951	239.0	47.4666666663
245.0	10628.2941206	242.0	1364.59258889	242.0	334.070704243	242.0	-190.569441666	242.0	23.6028342551	242.0	-25.1300780486	242.0	-163.033333333
249.0	11262.9607806	245.0	1155.59258889	245.0	662.737374243	245.0	-687.902781666	245.0	-416.730495745	245.0	-140.463418049	245.0	-843.533333333
252.0	10260.6274506	249.0	1543.25925889	249.0	321.404044243	249.0	492.430558334	249.0	-230.063825745	249.0	403.203251951	249.0	-107.033333333
255.0	11478.9607806	252.0	1759.59258889	252.0	435.404044243	252.0	-301.236111666	252.0	-295.397165745	252.0	427.203251951	252.0	170.466666667
259.0	13676.6274506	255.0	1837.25925889	255.0	589.404044243	255.0	-322.236111666	255.0	265.269504255	255.0	472.869921951	255.0	438.966666667
262.0	13048.9607806	259.0	2793.59258889	259.0	1326.40404424	259.0	187.097218334	259.0	328.936174255	259.0	148.203251951	259.0	225.966666667
265.0	12166.9607806	262.0	1986.59258889	262.0	1346.40404424	262.0	228.763888334	262.0	-150.730495745	262.0	836.536581951	262.0	992.966666667
269.0	15585.2941206	265.0	3031.59258889	265.0	1559.07070424	265.0	446.097218334	265.0	193.602834255	265.0	-408.796748049	265.0	846.466666667
272.0	15990.6274506	269.0	3327.25925889	269.0	1393.73737424	269.0	47.4305583338	269.0	904.602834255	269.0	619.869921951	269.0	-336.033333333
275.0	21044.2941206	272.0	2944.59258889	272.0	1010.73737424	272.0	-157.236111666	272.0	708.602834255	272.0	125.203251951	272.0	1100.96666667
279.0	18736.2941206	275.0	3339.25925889	275.0	2015.73737424	275.0	-7.56944166613	275.0	265.602834255	275.0	-6.13007804856	275.0	401.466666667
282.0	19239.6274506	279.0	3281.92592889	279.0	1390.73737424	279.0	336.430558334	279.0	-108.730495745	279.0	193.869921951	279.0	-300.033333333
285.0	20747.9607806	282.0	4407.59258889	282.0	2832.40404424	282.0	487.763888334	282.0	278.936174255	282.0	-405.130078049	282.0	-71.5333333337
289.0	19878.6274506	285.0	5801.59258889	285.0	3810.73737424	285.0	694.097218334	285.0	343.602834255	285.0	363.869921951	285.0	719.966666667
292.0	22950.9607806	289.0	5403.25925889	289.0	3096.07070424	289.0	241.763888334	289.0	126.269504255	289.0	248.869921951	289.0	-140.533333333
295.0	23454.2941206	292.0	4710.92592889	292.0	3363.07070424	292.0	1280.43055833	292.0	728.269504255	292.0	-75.1300780486	292.0	-66.5333333337
298.0	23892.2941206	295.0	5874.59258889	295.0	3163.40404424	295.0	949.430558334	295.0	587.602834255	295.0	533.869921951	295.0	-504.533333333
302.0	28673.6274506	298.0	6266.25925889	298.0	4863.40404424	298.0	1186.76388833	298.0	530.936174255	298.0	369.536581951	298.0	370.966666667
305.0	27347.2941206	302.0	7322.25925889	302.0	3632.07070424	302.0	996.763888334	302.0	43.6028342551	302.0	1979.53658195	302.0	-210.533333333
308.0	30037.2941206	305.0	8442.25925889	305.0	4699.07070424	305.0	564.097218334	305.0	256.602834255	305.0	1030.86992195	305.0	545.466666667
312.0	26909.2941206	308.0	8684.25925889	308.0	5906.40404424	308.0	1981.09721833	308.0	-3.06382574484	308.0	986.869921951	308.0	407.466666667
315.0	28469.2941206	312.0	8724.92592889	312.0	5997.07070424	312.0	1850.76388833	312.0	653.936174255	312.0	499.536581951	312.0	466.966666667
318.0	29964.9607806	315.0	9357.25925889	315.0	5727.07070424	315.0	1185.43055833	315.0	430.269504255	315.0	657.203251951	315.0	-12.0333333337
322.0	33498.9607806	318.0	10289.2592589	318.0	6032.07070424	318.0	1824.43055833	318.0	1193.26950426	318.0	700.536581951	318.0	248.966666667
325.0	34844.6274506	322.0	10931.9259289	322.0	7776.07070424	322.0	1604.76388833	322.0	442.936174255	322.0	973.869921951	322.0	1116.96666667
328.0	31649.9607806	325.0	10296.2592589	325.0	6768.73737424	325.0	1410.76388833	325.0	1362.26950426	325.0	2154.53658195	325.0	-532.533333333
332.0	28948.9607806	328.0	11688.5925889	328.0	8585.07070424	328.0	1764.09721833	328.0	514.269504255	328.0	578.869921951	328.0	-390.533333333
335.0	31103.2941206	332.0	12965.5925889	332.0	9215.40404424	332.0	1626.43055833	332.0	1001.60283426	332.0	940.203251951	332.0	465.466666667
338.0	31679.6274506	335.0	13903.5925889	335.0	9560.07070424	335.0	2664.09721833	335.0	884.602834255	335.0	1319.86992195	335.0	-355.533333333
342.0	32189.2941206	338.0	14181.9259289	338.0	9529.40404424	338.0	1713.43055833	338.0	958.936174255	338.0	1172.86992195	338.0	398.466666667
345.0	33022.6274506	342.0	14615.9259289	342.0	10906.0707042	342.0	2588.76388833	342.0	2326.26950426	342.0	1169.53658195	342.0	247.466666667
348.0	31269.9607806	345.0	15292.9259289	345.0	10317.0707042	345.0	3006.09721833	345.0	1654.93617426	345.0	1295.20325195	345.0	20.9666666663
352.0	35073.6274506	348.0	15249.9259289	348.0	11018.7373742	348.0	3797.09721833	348.0	637.269504255	348.0	1146.53658195	348.0	223.966666667
355.0	36068.6274506	352.0	15718.2592589	352.0	12484.7373742	352.0	3466.76388833	352.0	1283.26950426	352.0	2159.86992195	352.0	-563.033333333
358.0	33573.9607806	355.0	17193.9259289	355.0	13020.7373742	355.0	4044.09721833	355.0	1919.93617426	355.0	1231.86992195	355.0	529.966666667
362.0	37811.2941206	358.0	16715.5925889	358.0	14276.0707042	358.0	4149.09721833	358.0	2087.93617426	358.0	1978.86992195	358.0	567.466666667
365.0	36138.6274506	362.0	17628.9259289	362.0	13703.7373742	362.0	3386.43055833	362.0	1520.60283426	362.0	2005.53658195	362.0	708.966666667
368.0	33684.9607806	365.0	18652.5925889	365.0	13449.7373742	365.0	4432.76388833	365.0	2580.60283426	365.0	2054.53658195	365.0	394.466666667
371.0	34272.6274506	368.0	19372.5925889	368.0	14442.4040442	368.0	5021.43055833	368.0	1828.93617426	368.0	2373.20325195	368.0	1135.96666667
375.0	39439.6274506	371.0	19083.9259289	371.0	15711.0707042	371.0	5363.76388833	371.0	2280.26950426	371.0	2601.86992195	371.0	826.466666667
378.0	39585.6274506	375.0	19854.9259289	375.0	16794.0707042	375.0	3863.09721833	375.0	1811.26950426	375.0	2647.53658195	375.0	839.966666667
381.0	39031.9607806	378.0	21704.9259289	378.0	17575.4040442	378.0	5377.09721833	378.0	2986.93617426	378.0	2733.53658195	378.0	69.9666666663
385.0	38679.6274506	381.0	20619.2592589	381.0	15734.7373742	381.0	5969.43055833	381.0	3777.93617426	381.0	2654.20325195	381.0	115.966666667
388.0	40146.6274506	385.0	22579.9259289	385.0	16460.4040442	385.0	6938.09721833	385.0	2859.26950426	385.0	2150.20325195	385.0	937.966666667
391.0	40639.2941206	388.0	22825.5925889	388.0	17736.7373742	388.0	6398.43055833	388.0	3294.93617426	388.0	2656.20325195	388.0	163.966666667
395.0	40072.6274506	391.0	23595.9259289	391.0	19396.7373742	391.0	6156.09721833	391.0	3802.60283426	391.0	3040.86992195	391.0	-173.533333333
398.0	44547.9607806	395.0	23722.5925889	395.0	18016.0707042	395.0	7092.76388833	395.0	3548.26950426	395.0	3014.86992195	395.0	107.966666667
401.0	40706.9607806	398.0	24402.5925889	398.0	19021.0707042	398.0	7814.09721833	398.0	3408.93617426	398.0	3023.53658195	398.0	785.466666667
405.0	41903.6274506	401.0	23950.9259289	401.0	20207.0707042	401.0	8339.76388833	401.0	4467.60283426	401.0	3330.86992195	401.0	220.466666667
408.0	45538.9607806	405.0	24022.2592589	405.0	20179.4040442	405.0	8189.43055833	405.0	4399.60283426	405.0	3780.53658195	405.0	-247.033333333
411.0	44530.9607806	408.0	24976.9259289	408.0	20336.4040442	408.0	9650.76388833	408.0	4313.26950426	408.0	3391.86992195	408.0	1260.96666667
415.0	45503.6274506	411.0	24530.9259289	411.0	19956.0707042	411.0	9690.76388833	411.0	4465.60283426	411.0	3944.86992195	411.0	624.966666667
418.0	46841.6274506	415.0	26439.9259289	415.0	20799.4040442	415.0	9281.43055833	415.0	4607.60283426	415.0	3774.86992195	415.0	98.9666666663
421.0	47488.6274506	418.0	27216.2592589	418.0	21536.4040442	418.0	9730.09721833	418.0	5240.60283426	418.0	4643.86992195	418.0	463.466666667
425.0	46534.6274506	421.0	27245.2592589	421.0	22454.7373742	421.0	11181.0972183	421.0	5949.26950426	421.0	3821.20325195	421.0	903.966666667
428.0	46412.6274506	425.0	27807.5925889	425.0	22171.7373742	425.0	10167.4305583	425.0	6162.60283426	425.0	5435.53658195	425.0	872.966666667
431.0	47374.9607806	428.0	27526.2592589	428.0	22763.7373742	428.0	11281.0972183	428.0	6026.93617426	428.0	4920.86992195	428.0	1146.46666667
434.0	47977.6274506	431.0	27464.2592589	431.0	22795.0707042	431.0	10463.4305583	431.0	6121.26950426	431.0	4740.20325195	431.0	209.466666667
438.0	46892.6274506	434.0	27487.9259289	434.0	23691.0707042	434.0	11450.7638883	434.0	6732.26950426	434.0	4092.53658195	434.0	-330.533333333
441.0	45912.2941206	438.0	28355.2592589	438.0	24351.0707042	438.0	11948.4305583	438.0	6868.93617426	438.0	4980.86992195	438.0	851.466666667
444.0	45043.2941206	441.0	27912.9259289	441.0	23400.4040442	441.0	12803.7638883	441.0	6951.60283426	441.0	5056.53658195	441.0	32.4666666663
448.0	49477.6274506	444.0	28368.2592589	444.0	23681.7373742	444.0	13771.7638883	444.0	6204.93617426	444.0	5102.53658195	444.0	244.466666667
451.0	45901.9607806	448.0	29310.9259289	448.0	23210.4040442	448.0	13253.7638883	448.0	8056.93617426	448.0	5109.86992195	448.0	255.466666667
454.0	46318.2941206	451.0	29923.2592589	451.0	23701.0707042	451.0	13677.7638883	451.0	7070.26950426	451.0	5303.20325195	451.0	1392.46666667
